"Team","RPG","STEINRPG","RALLOWPG","STEINRALLOWPG","PYTH_STEIN"
"Coastal Caro. (Sun Belt)",5.7,5.572695676,1.1,1.469089826,0.935018986872247
"Col. of Charleston (CAA)",4.3,4.311743295,4.8,4.801606833,0.446402558746403
"Colgate (Patriot)",3.78,3.843389554,3.444444444,3.580684686,0.535341286814377
"Colorado St. (MWC)",5.25,5.167389554,2,2.279702071,0.837078007258535
"Columbia (Ivy League)",3,3.140858942,5.2,5.161878942,0.270199885983562
"Coppin St. (MEAC)",2.4,2.600450778,10.4,9.845416357,0.0652140648482494
"Cornell (Ivy League)",2.56,2.744559622,8,7.683783704,0.113147848697751
"Creighton (Big East)",5.44,5.338518805,6.111111111,5.982498745,0.443299892822438
"CSU Bakersfield (WAC)",4.43,4.428831731,4.571428571,4.595737056,0.481511775379842
"CSUN (Big West)",4.25,4.266709282,6.375,6.220178262,0.319969626213611
"Dartmouth (Ivy League)",3,3.140858942,5.9,5.792355132,0.227218310552201
"Dayton (Atlantic 10)",4.44,4.437838533,6.444444444,6.282725502,0.332861122067646
"Delaware (CAA)",5.5,5.392559622,5.375,5.31949799,0.506820186749379
"Delaware St. (MEAC)",3,3.140858942,7.666666667,7.383556947,0.153226196415353
"DePaul (Big East)",4.67,4.644994996,2.111111111,2.379777657,0.792089462836301
"Detroit Mercy (Horizon)",2,2.240178669,5.111111111,5.081818473,0.162706448751533
"Drake (MVC)",5.11,5.041294316,3.111111111,3.280457929,0.70252685273328
"Drexel (CAA)",6.1,5.932967785,5.6,5.522151051,0.535817091034441
"Duke (ACC)",3.4,3.50113105,2.6,2.820110235,0.606499173556229
"East Carolina (AAC)",7.44,7.13987935,4,4.081062615,0.753743223317485
"Eastern Ill. (OVC)",5.22,5.140369146,5.111111111,5.081818473,0.505727614707437
"Eastern Ky. (OVC)",5.5,5.392559622,5.375,5.31949799,0.506820186749379
"Elon (CAA)",6.13,5.959988193,4,4.081062615,0.680793804349101
"ETSU (SoCon)",6.56,6.34728071,3.222222222,3.380533515,0.779023678752751
"Evansville (MVC)",3.78,3.843389554,4,4.081062615,0.470034590253922
"Fairfield (MAAC)",5.73,5.599716084,4,4.081062615,0.653105277181905
"Fairleigh Dickinson (NEC)",2.91,3.059797717,4.454545455,4.49046274,0.317082104282892
"FGCU (ASUN)",2.67,2.843634452,1.333333333,1.679248556,0.741441277690863
"FIU (C-USA)",3.89,3.942464384,2.666666667,2.880155586,0.652018446086059
"Fla. Atlantic (C-USA)",1.8,2.060042615,3.9,3.990994588,0.210381461313831
"Florida (SEC)",7.6,7.283988193,1.2,1.559157854,0.956188779663961
"Florida A&M (MEAC)",2.38,2.582437173,5.615384615,5.53600767,0.17871467834665
"Florida St. (ACC)",7.45,7.148886152,1.909090909,2.197822046,0.913645312027834
"Fordham (Atlantic 10)",5.56,5.446600438,6.555555556,6.382801089,0.421350770000892
"Fresno St. (MWC)",4.82,4.780097037,4.272727273,4.32670269,0.549663253758478
"Furman (SoCon)",3.56,3.645239894,8.888888889,8.48438839,0.155826968232602
"Ga. Southern (Sun Belt)",5.92,5.770845336,4,4.081062615,0.666616702804723
"Gardner-Webb (Big South)",6.77,6.536423567,5,4.981742888,0.632561317632084
"George Mason (Atlantic 10)",2.88,3.032777309,5.875,5.769838126,0.216474568723502
"George Washington (Atlantic 10)",5.56,5.446600438,4.222222222,4.281213787,0.618104412048004
"Georgetown (Big East)",4,4.041539214,7,6.783103432,0.261996342819125
"Georgia (SEC)",10.5,9.895960982,1.9,2.189634044,0.953326661771491
"Georgia St. (Sun Belt)",2.5,2.690518805,7,6.783103432,0.135943196886106
"Georgia Tech (ACC)",7.78,7.446110642,6,5.88242316,0.615725974324919
"Grambling (SWAC)",6.6,6.383307921,2.2,2.459838126,0.870702206702628
"Grand Canyon (WAC)",4,4.041539214,3.4,3.540654452,0.565773628948617
"Green Bay (Horizon)",2.56,2.744559622,6.333333333,6.182649917,0.164619209542099
"Hampton (Big South)",5.69,5.563688874,4.125,4.193647649,0.637696655137834
"Hartford (America East)",2.33,2.537403159,7.666666667,7.383556947,0.105625135727612
"Harvard (Ivy League)",3.56,3.645239894,4.222222222,4.281213787,0.42027885468536
"Hawaii (Big West)",7.89,7.545185472,4.333333333,4.381289373,0.747841506042406
"Hofstra (CAA)",2.5,2.690518805,9.625,9.147389146,0.079623839306426
"Holy Cross (Patriot)",2.46,2.654491595,4.923076923,4.91245979,0.225998877673428
"Houston (AAC)",3.2,3.320994996,3.6,3.720790507,0.443407682284109
"Houston Baptist (Southland)",3.7,3.771335132,4.8,4.801606833,0.381533807169363
"Howard (MEAC)",3.44,3.537158261,9.555555556,9.084841905,0.131636360217701
"Idaho St. (Big Sky)",2.82,2.978736493,3.363636364,3.507902443,0.418961473435164
"Illinois (Big Ten)",7.78,7.446110642,5.555555556,5.482120817,0.648487987902234
"Illinois St. (MVC)",4.1,4.131607241,7.5,7.233443568,0.245993210680443
"Incarnate Word (Southland)",1.1,1.429566425,7.1,6.873171459,0.0414668879654547
"Indiana (Big Ten)",5.44,5.338518805,1.555555556,1.879399728,0.889730536436582
"Indiana St. (MVC)",5.5,5.392559622,3.6,3.720790507,0.677469759650891
"Iona (MAAC)",1.63,1.906926969,6.125,5.995008194,0.0918820775693931
"Iowa (Big Ten)",1.89,2.14110384,5.777777778,5.682271988,0.124328987890605
"Iowa St. (Big 12)",2.5,2.690518805,3.5,3.630722479,0.35448206589569
"IUPUI (Horizon)",3,3.140858942,6.1,5.972491187,0.216643350600524
"Jackson St. (SWAC)",2,2.240178669,7.583333333,7.308500257,0.085883607599216
"Jacksonville (ASUN)",4.13,4.158627649,4,4.081062615,0.509412752015155
"Jacksonville St. (OVC)",7.25,6.968750098,4.625,4.643987786,0.692476947738537
"James Madison (CAA)",5.14,5.068314724,2.571428571,2.794376512,0.766883881252961
"Kansas (Big 12)",2.8,2.960722887,6.9,6.693035405,0.163656721881349
"Kennesaw St. (ASUN)",4.38,4.383797717,7.5,7.233443568,0.268627035538275
"Kent St. (MAC)",4.2,4.221675268,4.3,4.351266697,0.484887122273392
"Kentucky (SEC)",7,6.74358003,3.454545455,3.589782467,0.779197976768798
"La Salle (Atlantic 10)",2.3,2.510382751,6.9,6.693035405,0.12333026221148
"La.-Monroe (Sun Belt)",3.56,3.645239894,7.333333333,7.083330189,0.209383756950823
"Lafayette (Patriot)",2.7,2.87065486,5.2,5.161878942,0.236219147119511
"Lamar University (Southland)",2.27,2.483362343,5.818181818,5.71866311,0.158658538286087
"Lehigh (Patriot)",4.42,4.419824928,4.416666667,4.456346062,0.495885555181738
"Liberty (ASUN)",2.8,2.960722887,3.4,3.540654452,0.411502822171202
"Lipscomb (ASUN)",5.4,5.302491595,2.8,3.000246289,0.757489539302915
"LIU Brooklyn (NEC)",2.8,2.960722887,5.3,5.251946969,0.241159914698752
"Long Beach St. (Big West)",6.33,6.140124248,4.777777778,4.781591716,0.622492932258751
"Longwood (Big South)",4.91,4.861158261,2.272727273,2.525342146,0.787479746265098
